SourceElementKey,BlockfaceName,SideOfStreet,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,PaidParkingRate,ParkingCategory,longitude,latitude
60182,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,120,5,Capitol Hill,North,,Paid Parking,122.32156166,47.62102996
45974,W MERCER ST BETWEEN 1ST AVE W AND 2ND AVE W,S,240,5,Uptown,Edge,,Paid Parking,122.35864292,47.6245103
54729,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST,W,120,9,Capitol Hill,South,,Paid Parking,122.32093008,47.615854
36490,E CHERRY ST BETWEEN 16TH AVE AND 17TH AVE,S,120,11,Cherry Hill,,,Paid Parking,122.31086289,47.60797363
4441,3RD AVE BETWEEN CLAY ST AND BROAD ST,SW,240,8,Belltown,North,,Paid Parking,122.35037128,47.61790727
24050,1ST AVE BETWEEN WARREN PL AND BAY ST,NE,240,7,Belltown,North,,Paid Parking,122.35456852,47.61823252
76105,7TH AVE S BETWEEN S JACKSON ST AND S KING ST,W,120,5,Chinatown/ID,Edge,,Paid Parking,122.32386144,47.59874622
36014,WARREN AVE N BETWEEN MERCER ST AND ROY ST,E,240,2,Uptown,Edge,,Paid Parking,122.35401396,47.62499475
86450,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,S,240,13,Ballard,Edge,,Paid Parking,122.38619958,47.66938747
51477,4TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,120,7,Commercial Core,Retail,,Paid Parking,122.33464066,47.60781481
8857,ALASKAN E RDWY WAY BETWEEN SPRING ST AND SENECA ST,SW,240,19,Commercial Core,Waterfront,,Paid Parking,122.33922088,47.60495027
87253,NW MARKET ST BETWEEN 20TH AVE NW AND RUSSELL AVE NW,N,120,3,Ballard,Core,,Paid Parking,122.38264895,47.66875856
54733,BROADWAY E BETWEEN E THOMAS ST AND E HARRISON ST,W,120,11,Capitol Hill,North,,Paid Parking,122.32100027,47.62152987
80878,STEWART ST BETWEEN PIKE PL AND POST AL,SE,120,4,Commercial Core,Waterfront,,Paid Parking,122.34189906,47.60978392
69446,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,E,120,10,Pike-Pine,,,Paid Parking,122.31671684,47.61351144
94651,CHERRY ST BETWEEN 4TH AVE AND 5TH AVE,NW,120,11,Commercial Core,Financial,,Paid Parking,122.33045145,47.6042352
79882,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,120,4,First Hill,,,Paid Parking,122.32559852,47.61163327
89525,S WASHINGTON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,N,120,6,Pioneer Square,Core,,Paid Parking,122.33218964,47.60094341
11105,JAMES ST BETWEEN YESLER WAY AND 2ND AVE,NW,120,5,Pioneer Square,Core,,Paid Parking,122.33308082,47.60214374
58814,WESTERN AVE BETWEEN CLAY ST AND BROAD ST,NE,240,4,Belltown,North,,Paid Parking,122.35280637,47.61600694
81185,UNION ST BETWEEN WESTERN AVE AND POST AL,NW,120,3,Commercial Core,Waterfront,,Paid Parking,122.33993334,47.60753777
36110,WESTERN AVE BETWEEN BATTERY ST AND WALL ST,NE,240,8,Belltown,North,,Paid Parking,122.34907831,47.61380287
12954,SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,120,9,First Hill,,,Restricted Parking Zone,122.32449676,47.61209744
35433,SENECA ST BETWEEN 9TH AVE AND TERRY AVE,NW,120,5,First Hill,,,Paid Parking,122.32815042,47.61013569
70750,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,120,9,Belltown,South,,Paid Parking,122.3436157,47.61293327
76193,8TH AVE BETWEEN VIRGINIA ST AND WESTLAKE AVE,SW,120,7,Denny Triangle,South,,Paid Parking,122.33732798,47.6160495
13210,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,E,120,5,University District,Core,,Paid Parking,122.31318754,47.65565937
34881,PONTIUS AVE N BETWEEN THOMAS ST AND HARRISON ST,W,600,12,South Lake Union,South,,Paid Parking,122.33182921,47.62139227
53137,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,W,600,16,Uptown Triangle,,,Paid Parking,122.34513699,47.62031534
13550,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,E,120,10,South Lake Union,South,,Paid Parking,122.33833669,47.62027694
58677,WALL ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,NW,240,5,Belltown,North,,Paid Parking,122.35088659,47.61313015
32430,CEDAR ST BETWEEN 3RD AVE AND 4TH AVE,SE,240,8,Belltown,North,,Paid Parking,122.34838097,47.61740601
80645,ROY ST BETWEEN NOB HILL AVE N AND 4TH AVE N,N,240,9,Uptown,Edge,,Paid Parking,122.3495519,47.62549076
84690,NE 42ND ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,S,120,6,University District,Core,,Paid Parking,122.31374639,47.65826096
32017,BELL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,NW,120,6,Belltown,South,,Paid Parking,122.34783611,47.61244339
35942,WALL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,SE,240,5,Belltown,North,,Paid Parking,122.34995178,47.61367661
37174,E PINE ST BETWEEN CRAWFORD PL AND SUMMIT AVE,S,120,3,Pike-Pine,,,Paid Parking,122.32587891,47.61514809
39337,NE 41ST ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,120,5,University District,Core,,Paid Parking,122.31264593,47.65688956
11866,MINOR AVE BETWEEN COLUMBIA ST AND MARION ST,NE,120,6,First Hill,,,Paid Parking,122.32295988,47.60872645
88634,S KING ST BETWEEN 6TH AVE S AND MAYNARD AVE S,S,120,8,Chinatown/ID,Core,,Paid Parking,122.32570336,47.59829528
76621,ALASKAN WAY BETWEEN VIRGINIA ST AND LENORA ST,SW,120,16,Belltown,South,,Paid Parking,122.34572989,47.6095449
58810,WESTERN AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,120,10,Belltown,South,,Paid Parking,122.34538208,47.61161729
77221,BLANCHARD ST BETWEEN 4TH AVE AND 5TH AVE,NW,120,6,Belltown,South,,Paid Parking,122.34223441,47.61500119
7257,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,120,11,Belltown,South,,Paid Parking,122.33988424,47.61405613
70753,2ND AVE BETWEEN BATTERY ST AND WALL ST,SW,240,6,Belltown,North,,Paid Parking,122.34746087,47.61501419
79681,MAYNARD AVE S BETWEEN S LANE ST AND S DEARBORN ST,W,120,6,Chinatown/ID,Edge,,Paid Parking,122.32515195,47.59626866
31849,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,SW,120,23,Ballard,Core,,Paid Parking,122.38403049,47.66700483
35417,SENECA ST BETWEEN 2ND AVE AND 3RD AVE,NW,120,6,Commercial Core,Retail,,Paid Parking,122.33590565,47.60688102
14398,E MADISON ST BETWEEN 10TH AVE AND E SENECA ST,SE,240,5,Pike-Pine,,,Paid Parking,122.31878899,47.61191344
32265,BROADWAY E BETWEEN E HARRISON ST AND E REPUBLICAN ST,W,120,4,Capitol Hill,North,,Paid Parking,122.32102062,47.62255637
66614,S WELLER ST BETWEEN 6TH AVE S AND MAYNARD AVE S,S,120,3,Chinatown/ID,Core,,Paid Parking,122.32568856,47.59744549
41721,NW MARKET ST BETWEEN LEARY AVE NW AND BALLARD AVE NW,N,120,4,Ballard,Core,,Paid Parking,122.38557075,47.66876144
