SourceElementKey,BlockfaceName,SideOfStreet,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,PaidParkingRate,ParkingCategory,longitude,latitude
88546,S JACKSON ST BETWEEN 6TH AVE S AND MAYNARD AVE S,S,120,2,Chinatown/ID,Edge,,Paid Parking,122.32573848,47.59910134
9149,BATTERY ST BETWEEN 4TH AVE AND 5TH AVE,NW,240,8,Belltown,North,,Paid Parking,122.34489933,47.61652205
56902,MADISON ST BETWEEN WESTERN AVE AND POST AVE,SE,120,6,Commercial Core,Waterfront,,Paid Parking,122.3370069,47.60430723
1037,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,W,240,14,Uptown,Edge,,Paid Parking,122.35551415,47.62151977
24406,11TH AVE BETWEEN E PIKE ST AND E PINE ST,E,120,8,Pike-Pine,,,Paid Parking,122.31805311,47.6146888
81185,UNION ST BETWEEN WESTERN AVE AND POST AL,NW,120,3,Commercial Core,Waterfront,,Paid Parking,122.33993334,47.60753777
76961,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,SW,120,11,Ballard,Core,,Paid Parking,122.38271478,47.66588407
1029,1ST AVE BETWEEN CLAY ST AND BROAD ST,SW,240,8,Belltown,North,,Paid Parking,122.35213217,47.61658464
13142,THOMAS ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,120,4,South Lake Union,South,,Paid Parking,122.3297844,47.62076448
49658,3RD AVE BETWEEN BATTERY ST AND WALL ST,NE,240,7,Belltown,North,,Paid Parking,122.34649132,47.61581407
32049,BELMONT AVE BETWEEN E UNION ST AND E PIKE ST,W,120,9,Pike-Pine,,,Restricted Parking Zone,122.32450368,47.61353905
57190,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,NE,120,5,First Hill,,,Paid Parking,122.32168833,47.60734463
56346,JOHN ST BETWEEN TAYLOR AVE N AND 6TH AVE N,S,600,3,Uptown Triangle,,,Paid Parking,122.3457077,47.61965023
13138,THOMAS ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,S,600,2,South Lake Union,South,,Paid Parking,122.33510817,47.62078405
85134,NE 63RD ST BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE,S,240,10,Roosevelt,,,Paid Parking,122.31648828,47.67409384
35237,ROOSEVELT WAY NE BETWEEN NE 43RD N ST AND NE 45TH ST,W,240,6,University District,Edge,,Paid Parking,122.31780478,47.66054298
58442,THOMAS ST BETWEEN 6TH AVE N AND AURORA AVE N,S,600,4,Uptown Triangle,,,Paid Parking,122.34438117,47.62082175
88774,S MAIN ST BETWEEN 6TH AVE S AND MAYNARD AVE S,S,120,8,Chinatown/ID,Edge,,Paid Parking,122.32567868,47.59996247
54010,ALASKAN WAY BETWEEN XW BELL ST AND WALL ST,NE,240,9,Belltown,North,,Paid Parking,122.34987647,47.61220724
33741,JOHN ST BETWEEN 5TH AVE N AND TAYLOR AVE N,N,240,4,Uptown Triangle,,,Paid Parking,122.34695788,47.61980828
37138,E PIKE ST BETWEEN BROADWAY AND 10TH AVE,S,120,10,Pike-Pine,,,Paid Parking,122.32006191,47.61400676
9349,BLANCHARD ST BETWEEN ELLIOTT AVE AND WESTERN AVE,NW,120,4,Belltown,South,,Paid Parking,122.34633431,47.61183419
36118,WESTERN AVE BETWEEN VINE ST AND CEDAR ST,NE,240,7,Belltown,North,,Paid Parking,122.35093211,47.61489953
37137,E PIKE ST BETWEEN BROADWAY AND 10TH AVE,N,120,7,Pike-Pine,,,Paid Parking,122.32006021,47.61415756
70730,2ND AVE BETWEEN MARION ST AND MADISON ST,NE,120,3,Commercial Core,Financial,,Paid Parking,122.3346924,47.60483804
55453,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,NW,600,20,South Lake Union,North,,Paid Parking,122.32681868,47.63134595
81205,UNIVERSITY ST BETWEEN MINOR AVE AND SUMMIT AVE,NW,120,8,First Hill,,,Paid Parking,122.32548222,47.61222854
77390,BROOKLYN AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,E,120,7,University District,Core,,Paid Parking,122.3142513,47.65903895
58186,SPRING ST BETWEEN 8TH AVE AND 9TH AVE,SE,120,8,First Hill,,,Paid Parking,122.3285232,47.60883822
13121,THOMAS ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,240,8,Uptown,Edge,,Paid Parking,122.35608775,47.62098771
76990,BATTERY ST BETWEEN 5TH AVE AND AURORA AVE,SE,240,8,Belltown,North,,Paid Parking,122.34385843,47.61708545
13134,THOMAS ST BETWEEN 8TH AVE N AND 9TH AVE N,S,600,8,South Lake Union,South,,Paid Parking,122.34042534,47.62080468
31058,8TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,120,7,Denny Triangle,South,,Paid Parking,122.33591854,47.61540116
58610,VINE ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,SE,240,4,Belltown,North,,Paid Parking,122.35167048,47.6136009
81289,VINE ST BETWEEN 3RD AVE AND 4TH AVE,NW,240,8,Belltown,North,,Carpool Parking,122.34762533,47.61694485
